"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","425000","443500","450000","460000","475000","478000","479500","480000","485000","490000","415500","409500","401500","390000","0","0","0","0","0","0","2","1","2","5","1","30","3","1","1","1","84","1","4","50","0","0","0","0","0","0","47","139","0","0","0","0","0","-415500","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","425000","427000","429500","439000","440000","443500","448000","450000","459500","460000","415500","413500","412500","409500","401500","390000","385000","370000","291000","0","2","5","3","5","1","1","22","2","23","5","84","4","1","1","4","50","50","3","1","0","69","198","0","0","0","0","0","-415500","5","-100.00","0","22","59","0","0","","0","0","0","","",""
"080001","0000","0","425000","427000","429500","430000","431000","439000","440000","443500","445000","448000","419000","416500","415500","415000","413500","412500","411000","409500","401500","390000","2","5","3","1","5","5","1","1","1","22","23","12","84","3","4","1","15","1","4","50","46","197","0","0","0","0","0","-415500","5","-100.00","0","-23","-1","0","0","","0","0","0","","",""
"080001","0001","0","425000","427000","428000","429500","430000","431000","439000","440000","443500","445000","419000","417000","416500","416000","415500","415000","413500","412500","411000","409500","5","5","4","4","1","5","5","147","1","1","23","5","12","8","84","3","4","1","15","1","178","156","0","0","0","0","0","-415500","5","-100.00","0","132","-41","0","0","","0","0","0","","",""
"080002","0000","0","425000","427000","428000","429500","430000","431000","439000","440000","443500","445000","419000","417000","416500","416000","415500","415000","413500","412500","411000","409500","56","5","4","4","1","5","5","147","1","1","23","5","12","8","131","3","4","1","15","1","229","203","0","0","0","0","0","-415500","5","-100.00","1","51","47","0","0","","0","0","0","","",""
"080002","0001","0","425000","427000","428000","429500","430000","431000","439000","440000","443500","445000","419000","417000","416500","416000","415500","415000","413500","412500","411000","409500","56","5","4","4","5","5","5","147","1","1","23","5","12","9","131","3","4","1","15","1","233","204","0","0","0","0","0","-415500","5","-100.00","1","4","1","0","0","","0","0","0","","",""
"080002","0002","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","443500","419000","417500","417000","416500","416000","415500","415000","413500","412500","411000","1","56","5","4","4","25","5","5","147","1","23","10","5","12","9","131","3","4","1","15","253","213","0","0","0","0","0","-415500","5","-100.00","1","20","9","0","0","","0","0","0","","",""
"080003","0000","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","443500","417500","417000","416500","416000","415500","415000","413500","412500","411000","410000","1","56","5","4","4","75","5","5","147","1","8","5","12","9","131","3","4","1","15","2","303","190","0","0","0","0","0","-415500","5","-100.00","26","50","-23","0","0","","0","0","0","","",""
"080003","0001","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","442500","420000","418000","417500","417000","416500","416000","415500","415000","413500","412500","1","56","5","4","4","75","5","5","147","5","2","2","8","5","12","9","131","3","4","1","307","177","0","0","0","0","0","-415500","5","-100.00","26","0","-13","0","0","","0","0","0","","",""
"080003","0002","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","442500","420000","418000","417500","417000","416500","416000","415500","415000","413500","412500","1","56","5","4","4","75","5","5","147","5","2","2","8","5","12","9","153","3","4","1","307","199","0","0","0","0","0","-415500","5","-100.00","26","0","22","0","0","","0","0","0","","",""
"080004","0000","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","442500","420000","418000","417500","417000","416500","416000","415500","415000","413500","412500","1","56","5","4","4","75","5","5","247","5","3","2","8","5","12","9","153","3","4","1","407","200","0","0","0","0","0","-415500","5","-100.00","26","100","1","0","0","","0","0","0","","",""
"080004","0001","0","424000","425000","427000","428000","429500","430000","431000","439000","440000","442500","420000","418000","417500","417000","416500","416000","415500","415000","413500","412500","1","56","5","4","4","75","5","5","247","5","3","2","8","5","12","9","159","3","4","1","407","206","0","0","0","0","0","-415500","5","-100.00","26","0","6","0","0","","0","0","0","","",""
"080005","0000","0","424000","425000","426500","427000","428000","429500","430000","431000","439000","440000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","1","56","2","5","4","4","75","5","5","247","5","12","9","159","3","4","1","15","12","1","404","221","0","0","0","0","0","-415500","5","-100.00","90","-3","0","0","0","","0","0","0","","",""
"080005","0001","0","424000","425000","426500","427000","428000","429500","430000","431000","439000","440000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","1","56","2","5","4","4","75","5","5","247","5","12","9","171","3","4","1","15","12","1","404","233","0","0","0","0","0","-415500","5","-100.00","90","0","12","0","0","","0","0","0","","",""
"080005","0002","0","423000","424000","425000","426500","427000","428000","429500","430000","431000","439000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","2","1","56","2","5","4","4","75","5","5","5","12","9","172","3","4","1","15","12","1","159","234","0","0","0","0","0","-415500","5","-100.00","90","0","1","0","0","","0","0","0","","",""
"080005","0003","0","420500","423000","424000","425000","426500","427000","428000","429500","430000","431000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","2","2","1","56","2","5","4","4","75","5","5","12","9","172","3","4","1","15","12","1","156","234","0","0","0","0","0","-415500","5","-100.00","90","-3","0","0","0","","0","0","0","","",""
"080006","0000","0","420500","423000","424000","425000","426500","427000","428000","429500","430000","431000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","4","2","1","56","2","5","4","4","75","5","5","12","9","172","3","4","1","15","12","1","158","234","0","0","0","0","0","-415500","5","-100.00","90","2","0","0","0","","0","0","0","","",""
"080006","0001","0","420500","423000","424000","425000","426500","427000","428000","429500","430000","431000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","6","2","1","56","2","5","4","4","75","5","5","12","9","172","3","4","1","15","12","1","160","234","0","0","0","0","0","-415500","5","-100.00","90","2","0","0","0","","0","0","0","","",""
"080006","0002","0","420500","423000","424000","425000","426500","427000","428000","429500","430000","431000","417000","416500","416000","415500","415000","413500","412500","411000","410000","409500","8","2","1","56","2","5","4","4","75","5","5","12","9","172","3","4","1","15","12","1","162","234","0","0","0","0","0","-415500","5","-100.00","90","2","0","0","0","","0","0","0","","",""
