"time","price","millisec"
"090008",20485,"0000"
"090008",20480,"0001"
"090008",20490,"0002"
"090008",20480,"0003"
"090009",20490,"0000"
"090009",20485,"0001"
"090009",20490,"0002"
"090010",20495,"0000"
"090010",20500,"0001"
"090010",20495,"0002"
"090010",20485,"0003"
"090011",20490,"0000"
"090011",20485,"0001"
"090011",20490,"0002"
"090012",20480,"0000"
"090012",20495,"0001"
"090013",20500,"0000"
"090014",20490,"0000"
"090014",20485,"0001"
"090014",20475,"0002"
"090015",20480,"0000"
"090016",20475,"0000"
"090016",20465,"0001"
"090016",20475,"0002"
"090017",20480,"0000"
"090017",20485,"0001"
"090019",20480,"0000"
"090019",20485,"0001"
"090020",20475,"0000"
"090020",20480,"0001"
"090020",20475,"0002"
"090022",20485,"0000"
"090022",20480,"0001"
"090022",20485,"0002"
"090023",20490,"0000"
"090023",20485,"0001"
"090024",20495,"0000"
"090026",20490,"0000"
"090026",20485,"0001"
"090026",20490,"0002"
"090028",20485,"0000"
"090028",20475,"0001"
"090028",20470,"0002"
"090029",20480,"0000"
"090030",20485,"0000"
"090032",20490,"0000"
"090032",20480,"0001"
"090033",20475,"0000"
"090033",20480,"0001"
"090035",20475,"0000"
"090035",20480,"0001"
"090035",20470,"0002"
"090035",20480,"0003"
"090036",20470,"0000"
"090037",20480,"0000"
"090037",20485,"0001"
"090040",20490,"0000"
"090040",20475,"0001"
"090041",20485,"0000"
"090041",20480,"0001"
"090041",20485,"0002"
"090042",20490,"0000"
"090043",20485,"0000"
"090043",20490,"0001"
"090044",20495,"0000"
"090044",20485,"0001"
"090044",20495,"0002"
"090044",20490,"0003"
"090045",20495,"0000"
"090048",20485,"0000"
"090048",20480,"0001"
"090048",20490,"0002"
"090049",20485,"0000"
"090050",20480,"0000"
"090050",20485,"0001"
"090051",20480,"0000"
"090051",20485,"0001"
"090051",20475,"0002"
"090052",20480,"0000"
"090055",20475,"0000"
"090056",20480,"0000"
"090056",20475,"0001"
"090056",20470,"0002"
"090057",20480,"0000"
"090058",20470,"0000"
"090058",20475,"0001"
"090101",20480,"0000"
"090102",20470,"0000"
"090102",20480,"0001"
"090104",20485,"0000"
"090105",20480,"0000"
"090106",20490,"0000"
"090108",20487,"0000"
"090108",20480,"0001"
"090111",20470,"0000"
"090114",20465,"0000"
"090114",20460,"0001"
"090115",20465,"0000"
"090115",20460,"0001"
"090116",20455,"0000"
"090116",20460,"0001"
"090117",20455,"0000"
"090118",20460,"0000"
"090119",20465,"0000"
"090120",20460,"0000"
"090120",20450,"0001"
"090120",20455,"0002"
"090121",20460,"0000"
"090121",20455,"0001"
"090124",20460,"0000"
"090124",20455,"0001"
"090125",20450,"0000"
"090126",20460,"0000"
"090127",20455,"0000"
"090127",20450,"0001"
"090127",20445,"0002"
"090127",20450,"0003"
"090128",20455,"0000"
"090129",20450,"0000"
"090130",20440,"0000"
"090130",20445,"0001"
"090131",20440,"0000"
"090132",20437,"0000"
"090133",20435,"0000"
"090133",20440,"0001"
"090136",20445,"0000"
"090136",20440,"0001"
"090136",20435,"0002"
"090137",20440,"0000"
"090138",20435,"0000"
"090139",20440,"0000"
"090142",20435,"0000"
"090143",20430,"0000"
"090143",20435,"0001"
"090145",20430,"0000"
"090145",20435,"0001"
"090145",20430,"0002"
"090149",20425,"0000"
"090150",20430,"0000"
"090150",20435,"0001"
"090151",20430,"0000"
"090151",20435,"0001"
"090152",20430,"0000"
"090155",20425,"0000"
"090156",20430,"0000"
"090156",20425,"0001"
"090157",20430,"0000"
"090158",20425,"0000"
"090159",20430,"0000"
"090200",20425,"0000"
"090200",20430,"0001"
"090200",20440,"0002"
"090201",20430,"0000"
"090201",20435,"0001"
"090203",20440,"0000"
"090203",20430,"0001"
"090203",20435,"0002"
"090204",20440,"0000"
"090204",20445,"0001"
"090204",20440,"0002"
"090204",20445,"0003"
"090205",20440,"0000"
"090205",20445,"0001"
"090205",20450,"0002"
"090206",20440,"0000"
"090206",20450,"0001"
"090206",20440,"0002"
"090207",20455,"0000"
"090207",20460,"0001"
"090208",20455,"0000"
"090209",20450,"0000"
"090209",20445,"0001"
"090209",20450,"0002"
"090210",20455,"0000"
"090210",20450,"0001"
"090211",20455,"0000"
"090212",20450,"0000"
"090213",20440,"0000"
