"time","price","millisec"
"090003",24060,"0000"
"090003",24065,"0001"
"090003",24060,"0002"
"090004",24065,"0000"
"090005",24055,"0000"
"090005",24060,"0001"
"090021",24070,"0000"
"090022",24060,"0000"
"090024",24055,"0000"
"090024",24060,"0001"
"090028",24065,"0000"
"090029",24060,"0000"
"090029",24065,"0001"
"090030",24060,"0000"
"090033",24055,"0000"
"090033",24060,"0001"
"090036",24055,"0000"
"090039",24057,"0000"
"090040",24060,"0000"
"090046",24055,"0000"
"090046",24060,"0001"
"090047",24057,"0000"
"090048",24055,"0000"
"090048",24060,"0001"
"090053",24050,"0000"
"090053",24060,"0001"
"090053",24050,"0002"
"090054",24055,"0000"
"090058",24060,"0000"
"090059",24050,"0000"
"090059",24060,"0001"
"090101",24055,"0000"
"090108",24050,"0000"
"090109",24045,"0000"
"090109",24050,"0001"
"090110",24055,"0000"
"090117",24050,"0000"
"090118",24055,"0000"
"090122",24050,"0000"
"090122",24055,"0001"
"090125",24050,"0000"
"090127",24055,"0000"
"090127",24050,"0001"
"090128",24055,"0000"
"090132",24050,"0000"
"090133",24055,"0000"
"090141",24050,"0000"
"090142",24055,"0000"
"090146",24050,"0000"
"090146",24055,"0001"
"090154",24050,"0000"
"090200",24045,"0000"
"090200",24050,"0001"
"090200",24045,"0002"
"090201",24050,"0000"
"090202",24045,"0000"
"090202",24050,"0001"
"090203",24045,"0000"
"090206",24050,"0000"
"090207",24045,"0000"
"090208",24050,"0000"
"090213",24045,"0000"
"090217",24050,"0000"
"090217",24045,"0001"
"090218",24050,"0000"
"090220",24045,"0000"
"090222",24050,"0000"
"090225",24045,"0000"
"090225",24050,"0001"
"090228",24045,"0000"
"090229",24050,"0000"
"090230",24045,"0000"
"090231",24050,"0000"
"090232",24045,"0000"
"090232",24050,"0001"
"090235",24045,"0000"
"090235",24050,"0001"
"090236",24045,"0000"
"090238",24050,"0000"
"090238",24045,"0001"
"090239",24050,"0000"
"090241",24045,"0000"
"090241",24050,"0001"
"090242",24045,"0000"
"090242",24040,"0001"
"090242",24045,"0002"
"090254",24040,"0000"
"090254",24045,"0001"
"090256",24040,"0000"
"090256",24045,"0001"
"090314",24040,"0000"
"090316",24045,"0000"
"090331",24042,"0000"
"090331",24045,"0001"
"090333",24050,"0000"
"090337",24045,"0000"
"090337",24047,"0001"
"090338",24050,"0000"
"090345",24045,"0000"
"090346",24050,"0000"
"090348",24045,"0000"
"090348",24050,"0001"
"090348",24045,"0002"
"090352",24040,"0000"
"090352",24045,"0001"
"090356",24050,"0000"
"090357",24045,"0000"
"090405",24040,"0000"
"090405",24045,"0001"
"090406",24040,"0000"
"090407",24045,"0000"
"090408",24040,"0000"
"090408",24045,"0001"
"090413",24040,"0000"
"090414",24045,"0000"
"090417",24040,"0000"
"090418",24045,"0000"
"090420",24050,"0000"
"090420",24045,"0001"
"090421",24050,"0000"
"090423",24045,"0000"
"090423",24050,"0001"
"090425",24045,"0000"
"090426",24050,"0000"
"090427",24045,"0000"
"090437",24040,"0000"
"090437",24045,"0001"
"090438",24040,"0000"
"090438",24045,"0001"
"090444",24040,"0000"
"090445",24045,"0000"
"090445",24040,"0001"
"090445",24045,"0002"
"090457",24040,"0000"
"090457",24045,"0001"
"090458",24040,"0000"
"090458",24045,"0001"
"090500",24040,"0000"
"090500",24045,"0001"
"090500",24040,"0002"
"090501",24045,"0000"
"090501",24040,"0001"
"090502",24045,"0000"
"090502",24040,"0001"
"090503",24045,"0000"
"090504",24040,"0000"
"090505",24045,"0000"
"090508",24040,"0000"
"090508",24045,"0001"
"090510",24040,"0000"
"090510",24045,"0001"
"090511",24040,"0000"
"090512",24045,"0000"
"090512",24040,"0001"
"090513",24045,"0000"
"090516",24040,"0000"
"090516",24045,"0001"
"090517",24040,"0000"
"090518",24050,"0000"
"090520",24045,"0000"
"090525",24050,"0000"
"090527",24045,"0000"
"090527",24050,"0001"
"090528",24045,"0000"
"090529",24040,"0000"
"090529",24050,"0001"
"090530",24045,"0000"
"090530",24050,"0001"
"090531",24045,"0000"
"090531",24050,"0001"
"090531",24045,"0002"
"090533",24050,"0000"
"090534",24045,"0000"
"090534",24050,"0001"
"090537",24045,"0000"
"090537",24050,"0001"
"090547",24045,"0000"
"090547",24050,"0001"
"090549",24045,"0000"
"090549",24050,"0001"
"090551",24045,"0000"
"090551",24050,"0001"
"090551",24045,"0002"
"090551",24050,"0003"
"090552",24045,"0000"
"090552",24050,"0001"
"090552",24045,"0002"
"090553",24050,"0000"
"090555",24045,"0000"
"090555",24050,"0001"
"090555",24045,"0002"
"090606",24050,"0000"
"090608",24045,"0000"
"090609",24050,"0000"
"090611",24045,"0000"
"090612",24040,"0000"
"090613",24045,"0000"
"090613",24040,"0001"
"090614",24045,"0000"
"090615",24040,"0000"
"090616",24045,"0000"
"090618",24040,"0000"
"090618",24045,"0001"
"090628",24040,"0000"
"090628",24045,"0001"
"090629",24040,"0000"
"090630",24045,"0000"
"090630",24040,"0001"
"090631",24045,"0000"
"090633",24040,"0000"
"090634",24045,"0000"
"090635",24040,"0000"
"090636",24045,"0000"
"090636",24040,"0001"
"090637",24045,"0000"
"090637",24040,"0001"
"090637",24045,"0002"
"090637",24040,"0003"
"090638",24045,"0000"
"090639",24040,"0000"
"090639",24045,"0001"
"090641",24040,"0000"
"090641",24045,"0001"
"090643",24040,"0000"
"090645",24035,"0000"
"090645",24040,"0001"
"090651",24035,"0000"
"090652",24040,"0000"
"090653",24045,"0000"
"090653",24040,"0001"
"090654",24045,"0000"
"090655",24040,"0000"
"090658",24045,"0000"
"090659",24040,"0000"
"090659",24045,"0001"
"090700",24040,"0000"
"090701",24045,"0000"
"090702",24040,"0000"
"090702",24045,"0001"
"090702",24040,"0002"
"090703",24045,"0000"
"090703",24040,"0001"
"090703",24045,"0002"
"090704",24040,"0000"
"090708",24035,"0000"
"090709",24040,"0000"
"090719",24035,"0000"
"090720",24040,"0000"
"090720",24045,"0001"
