"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","98900","101300","104800","109500","0","0","0","0","0","0","75100","0","0","0","0","0","0","0","0","0","300","25","10","1","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","336","40","0","0","0","0","0","-99900","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","98900","99900","100500","101300","103500","104800","107500","109000","109500","115000","98200","98000","92000","75100","0","0","0","0","0","0","300","1300","300","25","100","10","1","5","1","1","170","1000","1","40","0","0","0","0","0","0","2043","1211","0","0","0","0","0","-99900","5","-100.00","0","1707","1171","0","0","","0","0","0","","",""
"080001","0000","0","98900","99700","99900","100500","101300","102900","103000","103500","104800","105500","98700","98200","98000","96000","95100","92000","90300","75100","0","0","300","813","1300","300","25","2","1","100","10","1","100","170","1000","1","100","1","20","40","0","0","2852","1432","0","0","0","0","0","-99900","5","-100.00","0","809","221","0","0","","0","0","0","","",""
"080002","0000","0","98900","99500","99700","99900","100500","101000","101300","102000","102900","103000","98800","98700","98200","98000","97100","96000","95100","94000","92000","90300","298","50","813","1300","300","1","25","1","2","2","2","100","170","1000","5","1","100","1","1","20","2792","1400","0","0","0","0","0","-99900","5","-100.00","2","-60","-32","0","0","","0","0","0","","",""
"080002","0001","0","98900","99500","99700","99900","100500","100900","101000","101200","101300","102000","98800","98700","98200","98000","97100","96000","95100","94000","92000","90300","298","50","1113","1300","300","80","1","10","25","1","2","100","170","1000","5","1","100","1","1","20","3178","1400","0","0","0","0","0","-99900","5","-100.00","2","386","0","0","0","","0","0","0","","",""
"080003","0000","0","98900","99500","99700","99900","100000","100500","100900","101000","101200","101300","98800","98700","98200","98000","97100","96800","96000","95100","94000","92000","298","50","1113","1300","2","300","80","1","10","25","2","100","170","1000","5","1","1","101","1","1","3179","1382","0","0","0","0","0","-99900","5","-100.00","2","1","-18","0","0","","0","0","0","","",""
"080003","0001","0","98900","99500","99700","99900","100000","100500","100900","101000","101200","101300","98800","98700","98200","98000","97100","97000","96800","96000","95100","94000","76","50","1113","1300","2","300","80","1","10","25","2","100","170","1000","5","5","1","1","102","1","2957","1387","0","0","0","0","0","-99900","5","-100.00","224","-222","5","0","0","","0","0","0","","",""
"080004","0000","0","98900","99500","99700","99900","100000","100300","100500","100900","101000","101100","98800","98700","98200","98000","97100","97000","96800","96000","95100","94000","76","50","1113","1300","2","101","300","80","1","420","2","100","170","1000","5","5","1","1","102","1","3443","1387","0","0","0","0","0","-99900","5","-100.00","224","486","0","0","0","","0","0","0","","",""
"080004","0001","0","98900","99500","99700","99800","99900","100000","100300","100500","100900","101000","98800","98700","98200","98000","97100","97000","96800","96000","95100","94000","54","50","1113","250","1300","2","101","300","80","1","2","101","170","1100","55","5","1","1","102","1","3251","1538","0","0","0","0","0","-99900","5","-100.00","246","-192","151","0","0","","0","0","0","","",""
"080005","0000","0","98900","99500","99700","99800","99900","100000","100300","100500","100600","100900","98800","98700","98600","98400","98200","98000","97100","97000","96800","96000","52","50","1113","250","1300","2","101","300","40","80","3","101","1","1","170","1100","55","5","1","1","3288","1438","0","0","0","0","0","-99900","5","-100.00","248","37","-100","0","0","","0","0","0","","",""
