"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","468000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","-443000","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","453500","468000","489500","495000","498000","575000","0","0","0","0","425000","420000","350000","315000","0","0","0","0","0","0","20","3","3","1","6","74","0","0","0","0","16","50","89","46","0","0","0","0","0","0","107","201","0","0","0","0","0","-443000","5","-100.00","0","104","201","0","0","","0","0","0","","",""
"080000","0002","0","443000","445000","447000","450000","453500","459000","468000","475000","476000","476500","433500","429000","428000","425000","420000","412000","350000","315000","0","0","1","1","1","1","20","4","3","1","1","33","1","2","1","16","50","1","457","46","0","0","66","574","0","0","0","0","0","-443000","5","-100.00","0","-41","373","0","0","","0","0","0","","",""
"080001","0000","0","443000","445000","447000","450000","453500","459000","463000","468000","475000","476000","433500","431000","430000","429000","428000","426500","425000","420000","412500","412000","1","1","1","17","20","4","25","3","4","1","1","5","100","2","1","3","16","50","18","1","77","197","0","0","0","0","0","-443000","5","-100.00","0","11","-377","0","0","","0","0","0","","",""
"080001","0001","0","443000","445000","447000","449500","450000","453500","454500","455000","459000","459500","439500","439000","438500","435500","433500","431000","430500","430000","429000","428000","1","1","1","10","17","20","10","2","5","10","1","1","1","100","1","5","25","100","4","1","77","239","0","0","0","0","0","-443000","5","-100.00","0","0","42","0","0","","0","0","0","","",""
"080002","0000","0","444000","447000","448500","449500","450000","453500","454500","455000","459000","459500","443000","442000","439500","439000","438500","438000","437500","437000","436500","436000","1","1","1","10","17","20","10","102","5","10","38","2500","1","1","1","1","1","1","1","1","177","2546","0","0","0","0","0","-443000","5","-100.00","13","100","2307","0","0","","0","0","0","","",""
"080002","0001","0","444000","447000","448500","449500","450000","453500","454500","455000","459000","459500","443000","442000","439500","439000","438500","438000","437500","437000","436500","436000","1","1","1","10","17","20","10","102","5","10","61","2500","1","1","1","1","1","1","1","1","177","2569","0","0","0","0","0","-443000","5","-100.00","13","0","23","0","0","","0","0","0","","",""
"080003","0000","0","444000","447000","448500","449500","450000","451000","453500","454500","455000","459000","443000","442000","439500","439000","438500","438000","437500","437000","436500","436000","1","1","1","10","17","1","20","10","102","5","61","2500","1","1","1","1","1","1","1","1","168","2569","0","0","0","0","0","-443000","5","-100.00","13","-9","0","0","0","","0","0","0","","",""
"080003","0001","0","444000","447000","448500","449500","450000","451000","453500","454500","455000","459000","443000","442000","439500","439000","438500","438000","437500","437000","436500","436000","1","1","1","140","20","1","20","11","102","5","41","2500","1","1","1","1","1","1","1","1","302","2549","0","0","0","0","0","-443000","5","-100.00","33","134","-20","0","0","","0","0","0","","",""
"080003","0002","0","444000","447000","448500","449500","450000","451000","453500","454500","455000","459000","443500","443000","442000","439500","439000","438500","438000","437500","437000","436500","1","1","1","140","25","1","20","11","102","5","8","41","2500","1","1","1","1","1","1","1","307","2556","0","0","0","0","0","-443000","5","-100.00","33","5","7","0","0","","0","0","0","","",""
