"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","101300","109500","0","0","0","0","0","0","0","0","98900","75100","0","0","0","0","0","0","0","0","25","1","0","0","0","0","0","0","0","0","160","40","0","0","0","0","0","0","0","0","26","200","0","0","0","0","0","-99700","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080001","0000","0","99900","100500","101300","103000","105500","107500","109500","115000","124800","129600","99000","98900","95500","75100","0","0","0","0","0","0","120","250","25","1","1","1","1","1","2","4","500","160","1","40","0","0","0","0","0","0","406","701","0","0","0","0","0","-99700","5","-100.00","0","380","501","0","0","","0","0","0","","",""
"080001","0001","0","99900","100500","101300","103000","104500","105500","107500","108000","109500","115000","99300","99000","98900","95500","93000","75100","0","0","0","0","120","250","25","1","5","1","1","1","1","1","23","550","160","1","1","40","0","0","0","0","406","775","0","0","0","0","0","-99700","5","-100.00","0","0","74","0","0","","0","0","0","","",""
"080002","0000","0","99900","100500","101300","101800","102400","102800","103000","104500","105500","105800","99700","99300","99200","99000","98900","97100","95500","95000","93000","90300","120","250","26","1","2","1","1","5","1","1","10","23","10","550","160","5","1","100","1","20","408","880","0","0","0","0","0","-99700","5","-100.00","0","2","105","0","0","","0","0","0","","",""
"080002","0001","0","99900","100200","100500","101200","101300","101800","102400","102800","103000","104000","99700","99300","99200","99000","98900","98400","98200","98100","98000","97800","120","200","250","100","26","1","2","1","1","10","10","23","10","550","160","1","101","100","1","1","711","957","0","0","0","0","0","-99700","5","-100.00","0","303","77","0","0","","0","0","0","","",""
"080003","0000","0","99900","100200","100500","101200","101300","101800","102000","102400","102500","102800","99700","99300","99200","99000","98900","98400","98200","98100","98000","97800","120","200","250","100","26","1","5","2","5","1","10","23","10","550","160","1","101","100","1","1","710","957","0","0","0","0","0","-99700","5","-100.00","0","-1","0","0","0","","0","0","0","","",""
"080003","0001","0","99900","100200","100500","101000","101200","101300","101800","102000","102400","102500","99700","99300","99200","99000","98900","98400","98200","98100","98000","97800","120","200","250","55","100","26","1","5","2","5","10","23","10","550","160","1","101","100","1","1","764","957","0","0","0","0","0","-99700","5","-100.00","0","54","0","0","0","","0","0","0","","",""
"080004","0000","0","99900","100200","100500","101000","101200","101300","101800","102000","102200","102400","99700","99300","99200","99000","98900","98400","98200","98100","98000","97800","120","200","250","55","100","26","1","5","11","2","10","23","10","550","160","1","101","100","1","1","770","957","0","0","0","0","0","-99700","5","-100.00","0","6","0","0","0","","0","0","0","","",""
"080004","0001","0","99900","100200","100500","101000","101200","101300","101500","101800","102000","102200","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","320","200","250","55","100","26","1","1","5","11","10","23","10","100","550","160","1","101","100","1","969","1056","0","0","0","0","0","-99700","5","-100.00","0","199","99","0","0","","0","0","0","","",""
"080005","0000","0","99900","100200","100500","101000","101200","101300","101500","101800","102000","102200","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","57","100","26","1","1","6","11","10","23","10","100","550","160","1","101","100","1","982","1056","0","0","0","0","0","-99700","5","-100.00","0","13","0","0","0","","0","0","0","","",""
"080005","0001","0","99900","100200","100500","101000","101200","101300","101500","101700","101800","102000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","57","100","26","1","240","1","6","10","23","10","100","550","160","1","101","100","1","1211","1056","0","0","0","0","0","-99700","5","-100.00","0","229","0","0","0","","0","0","0","","",""
"080006","0000","0","99900","100200","100500","101000","101200","101300","101500","101700","101800","102000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","57","100","26","1","240","1","6","219","23","10","100","550","160","1","101","100","1","1211","1265","0","0","0","0","0","-99700","5","-100.00","0","0","209","0","0","","0","0","0","","",""
"080006","0001","0","99900","100200","100500","101000","101200","101300","101500","101700","101800","102000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","57","100","26","6","240","1","6","219","23","10","100","550","160","1","101","100","1","1216","1265","0","0","0","0","0","-99700","5","-100.00","0","5","0","0","0","","0","0","0","","",""
"080007","0000","0","99900","100200","100500","101000","101200","101300","101500","101700","101800","102000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","57","1245","26","6","240","1","6","219","23","10","100","550","160","1","101","100","1","2361","1265","0","0","0","0","0","-99700","5","-100.00","0","1145","0","0","0","","0","0","0","","",""
"080008","0000","0","99900","100200","100500","100700","100900","101000","101200","101300","101500","101700","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","457","1245","26","6","240","209","23","10","110","550","160","1","101","100","1","2761","1265","0","0","0","0","0","-99700","5","-100.00","0","400","0","0","0","","0","0","0","","",""
"080009","0000","0","99900","100200","100500","100700","100900","101000","101200","101300","101500","101700","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","457","1245","26","7","240","209","23","10","110","550","160","1","101","100","1","2762","1265","0","0","0","0","0","-99700","5","-100.00","0","1","0","0","0","","0","0","0","","",""
"080009","0001","0","99900","100200","100500","100700","100900","101000","101200","101300","101500","101700","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","457","1245","26","7","240","209","23","10","142","550","160","1","101","100","1","2762","1297","0","0","0","0","0","-99700","5","-100.00","0","0","32","0","0","","0","0","0","","",""
"080010","0000","0","99900","100200","100500","100700","100900","101000","101200","101300","101500","101700","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","457","1245","26","7","240","209","33","10","142","550","160","1","101","100","1","2762","1307","0","0","0","0","0","-99700","5","-100.00","0","0","10","0","0","","0","0","0","","",""
"080010","0001","0","99900","100200","100500","100700","100900","101000","101200","101300","101500","101700","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","460","1245","26","7","240","209","33","10","142","550","160","1","101","100","1","2765","1307","0","0","0","0","0","-99700","5","-100.00","0","3","0","0","0","","0","0","0","","",""
"080011","0000","0","99900","100200","100500","100700","100800","100900","101000","101200","101300","101500","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","2","460","1245","26","17","209","33","10","142","550","160","1","101","100","1","2537","1307","0","0","0","0","0","-99700","5","-100.00","0","-228","0","0","0","","0","0","0","","",""
"080012","0000","0","99900","100200","100500","100700","100800","100900","101000","101200","101300","101500","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","5","2","2","460","1245","26","17","209","33","10","204","550","160","1","101","100","1","2537","1369","0","0","0","0","0","-99700","5","-100.00","0","0","62","0","0","","0","0","0","","",""
"080012","0001","0","99900","100200","100500","100600","100700","100800","100900","101000","101200","101300","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","1","5","2","3","460","1245","26","209","33","10","204","550","160","1","101","100","1","2522","1369","0","0","0","0","0","-99700","5","-100.00","0","-15","0","0","0","","0","0","0","","",""
"080014","0000","0","99900","100200","100500","100600","100700","100800","100900","101000","101200","101300","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","250","1","5","2","3","460","1315","26","214","33","10","204","550","160","1","101","100","1","2592","1374","0","0","0","0","0","-99700","5","-100.00","0","70","5","0","0","","0","0","0","","",""
"080014","0001","0","99900","100200","100400","100500","100600","100700","100800","100900","101000","101200","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","1","250","1","5","2","3","460","1315","214","33","10","204","550","160","1","101","100","1","2567","1374","0","0","0","0","0","-99700","5","-100.00","0","-25","0","0","0","","0","0","0","","",""
"080014","0002","0","99900","100200","100400","100500","100600","100700","100800","100900","101000","101200","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","1","250","1","7","2","3","460","1315","214","33","10","204","550","160","1","101","100","1","2569","1374","0","0","0","0","0","-99700","5","-100.00","0","2","0","0","0","","0","0","0","","",""
"080015","0000","0","99900","100200","100400","100500","100600","100700","100800","100900","101000","101200","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","200","1","250","1","7","2","3","460","1315","214","33","10","204","550","160","1","102","100","2","2569","1376","0","0","0","0","0","-99700","5","-100.00","0","0","2","0","0","","0","0","0","","",""
"080015","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","1","7","2","3","460","214","33","10","204","550","160","1","102","100","2","1478","1376","0","0","0","0","0","-99700","5","-100.00","0","-1091","0","0","0","","0","0","0","","",""
"080018","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","1","7","2","3","710","214","33","10","204","550","160","1","102","100","2","1728","1376","0","0","0","0","0","-99700","5","-100.00","0","250","0","0","0","","0","0","0","","",""
"080019","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","1","7","2","3","710","214","33","10","214","550","160","1","102","100","2","1728","1386","0","0","0","0","0","-99700","5","-100.00","0","0","10","0","0","","0","0","0","","",""
"080019","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","1","48","2","3","710","214","33","10","214","550","160","1","102","100","2","1769","1386","0","0","0","0","0","-99700","5","-100.00","0","41","0","0","0","","0","0","0","","",""
"080020","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","3","48","2","3","710","214","33","10","214","554","160","1","102","100","2","1771","1390","0","0","0","0","0","-99700","5","-100.00","0","2","4","0","0","","0","0","0","","",""
"080021","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","3","48","2","3","710","220","33","10","214","554","160","1","102","100","2","1771","1396","0","0","0","0","0","-99700","5","-100.00","0","0","6","0","0","","0","0","0","","",""
"080021","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","200","1","250","3","48","2","3","710","220","33","10","214","559","160","1","102","100","2","1771","1401","0","0","0","0","0","-99700","5","-100.00","0","0","5","0","0","","0","0","0","","",""
"080022","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","201","1","250","3","48","2","3","710","220","33","10","214","559","160","1","102","100","2","1772","1401","0","0","0","0","0","-99700","5","-100.00","0","1","0","0","0","","0","0","0","","",""
"080022","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","330","224","201","1","250","3","48","2","3","710","220","133","10","214","559","160","1","102","100","2","1772","1501","0","0","0","0","0","-99700","5","-100.00","0","0","100","0","0","","0","0","0","","",""
"080023","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","1","250","3","48","2","3","710","220","133","10","214","559","160","1","102","100","2","1761","1501","0","0","0","0","0","-99700","5","-100.00","11","-11","0","0","0","","0","0","0","","",""
"080024","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","1","252","3","48","2","3","710","220","633","10","214","559","160","1","102","100","2","1763","2001","0","0","0","0","0","-99700","5","-100.00","11","2","500","0","0","","0","0","0","","",""
"080025","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","1","252","3","48","2","3","710","220","633","10","214","559","160","1","102","110","2","1763","2011","0","0","0","0","0","-99700","5","-100.00","11","0","10","0","0","","0","0","0","","",""
"080025","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","1","252","3","48","2","3","710","239","633","10","214","559","160","1","102","110","2","1763","2030","0","0","0","0","0","-99700","5","-100.00","11","0","19","0","0","","0","0","0","","",""
"080026","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","16","252","3","48","2","3","710","239","633","10","214","559","160","1","102","110","2","1778","2030","0","0","0","0","0","-99700","5","-100.00","11","15","0","0","0","","0","0","0","","",""
"080027","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","224","201","18","252","3","48","2","3","710","239","633","10","214","559","160","1","102","110","2","1780","2030","0","0","0","0","0","-99700","5","-100.00","11","2","0","0","0","","0","0","0","","",""
"080027","0001","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98400","98200","98100","98000","319","324","201","18","252","3","48","2","3","710","239","633","10","214","559","160","1","102","110","2","1880","2030","0","0","0","0","0","-99700","5","-100.00","11","100","0","0","0","","0","0","0","","",""
"080028","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98500","98400","98200","98100","319","324","201","18","252","3","48","2","3","710","239","633","10","214","559","160","2","1","102","110","1880","2030","0","0","0","0","0","-99700","5","-100.00","11","0","0","0","0","","0","0","0","","",""
"080030","0000","0","99900","100100","100200","100400","100500","100600","100700","100800","100900","101000","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","201","18","322","3","48","2","3","710","239","633","10","214","559","160","2","1","368","102","1950","2288","0","0","0","0","0","-99700","5","-100.00","11","70","258","0","0","","0","0","0","","",""
"080030","0001","0","99900","100100","100200","100300","100400","100500","100600","100700","100800","100900","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","201","2","18","322","3","48","2","3","239","633","10","214","621","160","2","1","368","102","1242","2350","0","0","0","0","0","-99700","5","-100.00","11","-708","62","0","0","","0","0","0","","",""
"080031","0000","0","99900","100100","100200","100300","100400","100500","100600","100700","100800","100900","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","201","2","18","322","3","48","2","3","239","633","20","204","621","160","2","1","368","102","1242","2350","0","0","0","0","0","-99700","5","-100.00","11","0","0","0","0","","0","0","0","","",""
"080032","0000","0","99900","100100","100200","100300","100400","100500","100600","100700","100800","100900","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","201","2","18","322","3","48","2","3","239","633","20","204","622","160","2","1","368","102","1242","2351","0","0","0","0","0","-99700","5","-100.00","11","0","1","0","0","","0","0","0","","",""
"080032","0001","0","99900","100100","100200","100300","100400","100500","100600","100700","100800","100900","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","201","2","18","323","3","48","2","3","239","633","20","204","622","160","2","1","368","102","1243","2351","0","0","0","0","0","-99700","5","-100.00","11","1","0","0","0","","0","0","0","","",""
"080032","0002","0","99900","100100","100200","100300","100400","100500","100600","100700","100800","100900","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","324","211","2","18","323","3","48","2","3","239","633","20","204","622","160","2","1","368","102","1253","2351","0","0","0","0","0","-99700","5","-100.00","11","10","0","0","0","","0","0","0","","",""
"080033","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","100","324","211","2","18","323","3","48","2","239","633","20","204","622","160","2","1","368","102","1350","2351","0","0","0","0","0","-99700","5","-100.00","11","97","0","0","0","","0","0","0","","",""
"080033","0001","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99300","99200","99100","99000","98900","98500","98400","98300","98200","319","111","324","211","2","18","323","3","48","2","239","633","20","204","622","160","2","1","368","102","1361","2351","0","0","0","0","0","-99700","5","-100.00","11","11","0","0","0","","0","0","0","","",""
"080034","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","319","111","324","211","2","18","323","3","48","2","239","20","633","20","172","622","160","2","1","368","1361","2237","0","0","0","0","0","-99700","5","-100.00","11","0","-114","0","0","","0","0","0","","",""
"080037","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","319","111","324","213","2","18","323","3","48","2","302","20","633","20","172","622","160","2","1","368","1363","2300","0","0","0","0","0","-99700","5","-100.00","11","2","63","0","0","","0","0","0","","",""
"080038","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","223","2","18","323","3","48","2","302","20","633","20","172","622","160","2","1","368","1354","2300","0","0","0","0","0","-99700","5","-100.00","30","-9","0","0","0","","0","0","0","","",""
"080039","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","223","2","18","423","3","48","2","302","20","633","20","172","622","160","2","1","368","1454","2300","0","0","0","0","0","-99700","5","-100.00","30","100","0","0","0","","0","0","0","","",""
"080039","0001","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","223","2","18","423","3","48","3","302","20","633","20","172","622","160","2","1","368","1455","2300","0","0","0","0","0","-99700","5","-100.00","30","1","0","0","0","","0","0","0","","",""
"080040","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","223","2","18","423","3","48","3","402","20","633","120","172","622","160","2","1","368","1455","2500","0","0","0","0","0","-99700","5","-100.00","30","0","200","0","0","","0","0","0","","",""
"080040","0001","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","223","12","18","423","3","48","3","402","20","633","120","172","622","160","2","1","368","1465","2500","0","0","0","0","0","-99700","5","-100.00","30","10","0","0","0","","0","0","0","","",""
"080042","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","324","228","12","18","423","3","48","3","402","20","633","120","172","622","160","2","1","368","1470","2500","0","0","0","0","0","-99700","5","-100.00","30","5","0","0","0","","0","0","0","","",""
"080042","0001","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","300","111","326","228","12","18","423","3","48","3","402","20","633","120","172","622","160","2","1","368","1472","2500","0","0","0","0","0","-99700","5","-100.00","30","2","0","0","0","","0","0","0","","",""
"080044","0000","0","99900","100000","100100","100200","100300","100400","100500","100600","100700","100800","99700","99600","99300","99200","99100","99000","98900","98500","98400","98300","314","111","326","228","12","18","423","3","48","3","402","20","633","120","172","622","160","2","1","368","1486","2500","0","0","0","0","0","-99700","5","-100.00","30","14","0","0","0","","0","0","0","","",""
