"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","0","0","0","0","0","0","0","0","0","0","158000","152500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","100","0","0","0","0","0","0","0","0","0","163","0","0","0","0","0","-157200","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","165300","167500","168000","168300","172000","175000","186900","187700","192700","198000","165100","158000","157200","155300","154500","153300","152500","151200","148700","148000","2","41","20","2","1","11","27","150","205","26","1016","63","216","1","50","2","100","20","9","1","485","1478","0","0","0","0","0","-157200","5","-100.00","305","485","1315","0","0","","0","0","0","","",""
"080001","0000","0","165300","167500","168000","168300","170000","172000","172400","175000","179000","183900","165100","161000","158000","157200","155300","154500","154100","153300","152500","151500","7","41","220","2","1","1","25","12","40","130","957","1","131","318","1","50","10","2","100","10","479","1580","0","0","0","0","0","-157200","5","-100.00","370","-6","102","0","0","","0","0","0","","",""
"080001","0001","0","165200","165300","165800","167500","168000","168300","170000","172000","172400","175000","165100","163000","161000","160500","159100","158200","158000","157500","157300","157200","7","7","36","41","220","2","1","2","25","12","237","18","1","5","202","1","131","50","30","348","353","1023","0","0","0","0","0","-157200","5","-100.00","1118","-126","-557","0","0","","0","0","0","","",""
"080002","0000","0","165200","165300","165800","167400","167500","168000","168300","169300","170000","172000","165100","163000","161000","160500","159100","158200","158000","157700","157600","157500","7","7","36","5","41","420","2","2","1","2","196","18","1","5","202","1","131","30","29","50","523","663","0","0","0","0","0","-157200","5","-100.00","1136","170","-360","0","0","","0","0","0","","",""
"080002","0001","0","165800","166200","167400","167500","168000","168300","169300","170000","172000","172400","165100","163000","161000","160500","160000","159100","158500","158400","158200","158100","31","2","5","41","625","3","2","1","2","25","176","18","1","5","5","202","5","64","6","6","737","488","0","0","0","0","0","-157200","5","-100.00","1195","214","-175","0","0","","0","0","0","","",""
"080003","0000","0","161800","162200","163000","164900","165700","165800","166200","167400","167500","168000","161300","161200","161100","161000","160500","160000","159100","158500","158400","158200","500","2","7","150","306","31","2","5","41","625","24","24","6","1","5","5","202","5","64","6","1669","342","0","0","0","0","0","-157200","5","-100.00","1695","932","-146","0","0","","0","0","0","","",""
"080003","0001","0","161800","162200","163000","164900","165100","165700","165800","166200","167400","167500","161300","161200","161100","161000","160500","160000","159100","158500","158400","158200","500","2","7","150","1","306","31","2","5","41","20","24","6","1","5","5","202","5","64","6","1045","338","0","0","0","0","0","-157200","5","-100.00","1699","-624","-4","0","0","","0","0","0","","",""
"080003","0002","0","161800","162200","163000","164900","165100","165700","165800","166200","167400","167500","161300","161200","161100","161000","160500","160000","159100","158500","158400","158200","400","2","7","150","1","306","31","2","5","41","17","24","6","1","5","5","202","5","64","6","945","335","0","0","0","0","0","-157200","5","-100.00","1802","-100","-3","0","0","","0","0","0","","",""
"080003","0003","0","161800","162200","163000","164900","165100","165700","165800","166200","167400","167500","161300","161000","160500","160000","159100","158500","158400","158200","158000","157900","400","2","7","150","1","306","31","2","5","41","17","1","5","5","202","5","64","6","139","26","945","470","0","0","0","0","0","-157200","5","-100.00","1802","0","135","0","0","","0","0","0","","",""
"080004","0000","0","161800","162000","162200","163000","164900","165100","165700","165800","166200","167400","161300","161000","160500","160000","159100","158500","158400","158200","158000","157900","400","10","2","7","150","19","306","31","2","5","17","1","5","5","202","5","64","6","139","26","932","470","0","0","0","0","0","-157200","5","-100.00","1802","-13","0","0","0","","0","0","0","","",""
"080004","0001","0","161800","162000","162200","163000","164900","165100","165700","165800","166200","167400","161300","161000","160500","160000","159100","158500","158400","158200","158000","157900","435","10","2","7","150","19","306","31","2","5","17","1","505","5","202","5","64","6","316","26","967","1147","0","0","0","0","0","-157200","5","-100.00","1802","35","677","0","0","","0","0","0","","",""
"080004","0002","0","161800","162000","162200","163000","164900","165100","165700","165800","166200","167400","161000","160500","160000","159100","158500","158400","158200","158000","157900","157700","423","10","2","7","150","19","306","31","2","5","1","505","5","202","5","64","6","324","26","30","955","1168","0","0","0","0","0","-157200","5","-100.00","1814","-12","21","0","0","","0","0","0","","",""
"080004","0003","0","161800","162000","162100","162200","163000","164900","165000","165100","165700","165800","161000","160500","160000","159100","158500","158400","158200","158000","157900","157700","377","41","7","2","7","150","1","19","306","31","1","505","5","202","5","64","6","324","26","30","941","1168","0","0","0","0","0","-157200","5","-100.00","1860","-14","0","0","0","","0","0","0","","",""
