"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","0","0","0","0","0","0","0","0","0","0","99200","75100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","40","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","-100000","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","100700","101000","101400","102000","103000","105000","105500","108000","110000","115000","99200","99100","98600","94500","75100","0","0","0","0","0","210","1","1","1","1","1","1","2","2","1","25","10","167","1","40","0","0","0","0","0","221","243","0","0","0","0","0","-100000","5","-100.00","0","221","178","0","0","","0","0","0","","",""
"080001","0000","0","100500","100700","101000","101200","101400","102000","103000","103200","104000","104700","99200","99100","98600","97500","97100","96000","94500","75100","0","0","200","210","1","1","1","1","202","2","21","5","247","10","167","1","5","1","1","40","0","0","644","472","0","0","0","0","0","-100000","5","-100.00","0","423","229","0","0","","0","0","0","","",""
"080002","0000","0","100500","100700","101000","101200","101400","101500","102000","103000","103200","104000","100000","99500","99200","99100","98600","97500","97100","96000","94500","94000","200","210","1","1","1","500","1","202","2","21","200","300","247","10","207","1","5","1","1","100","1139","1072","0","0","0","0","0","-100000","5","-100.00","0","495","600","0","0","","0","0","0","","",""
"080002","0001","0","100500","100700","101000","101200","101400","101500","102000","102500","103000","103200","100000","99500","99200","99100","98600","97500","97100","96000","94500","94000","200","210","1","1","1","500","6","5","217","2","200","300","247","10","207","1","5","1","1","100","1143","1072","0","0","0","0","0","-100000","5","-100.00","0","4","0","0","0","","0","0","0","","",""
"080003","0000","0","100500","100700","101000","101200","101400","101500","102000","102500","103000","103200","100000","99500","99200","99100","98600","97500","97100","96000","94500","94000","200","210","3","1","1","500","6","5","217","2","200","300","247","10","207","1","5","1","1","100","1145","1072","0","0","0","0","0","-100000","5","-100.00","0","2","0","0","0","","0","0","0","","",""
"080003","0001","0","100500","100700","101000","101200","101400","101500","102000","102500","103000","103200","100000","99500","99200","99100","98600","97500","97100","97000","96800","96000","200","210","3","1","1","500","6","5","217","2","200","300","247","10","207","1","5","5","1","1","1145","977","0","0","0","0","0","-100000","5","-100.00","0","0","-95","0","0","","0","0","0","","",""
"080004","0000","0","100500","100700","101000","101200","101400","101500","102000","102200","102500","103000","100000","99500","99200","99100","98600","97500","97100","97000","96800","96000","200","210","3","1","1","500","6","11","5","217","200","300","247","30","207","1","5","5","1","1","1154","997","0","0","0","0","0","-100000","5","-100.00","0","9","20","0","0","","0","0","0","","",""
"080004","0001","0","100500","100700","101000","101200","101400","101500","102000","102200","102500","103000","100000","99500","99200","99100","98800","98600","97500","97100","97000","96800","200","210","3","1","1","500","7","11","5","217","200","300","247","30","60","207","1","5","5","1","1155","1056","0","0","0","0","0","-100000","5","-100.00","0","1","59","0","0","","0","0","0","","",""
"080005","0000","0","100500","100700","101000","101200","101400","101500","102000","102200","102500","103000","99500","99200","99100","99000","98800","98600","98400","98200","98000","97800","200","210","3","1","1","500","7","11","5","217","300","348","30","1","62","209","2","2","3","3","1155","960","0","0","0","0","0","-100000","5","-100.00","0","0","-96","0","0","","0","0","0","","",""
