"time","millisec","HOUR_CLS_CODE","ASKP1","ASKP2","ASKP3","ASKP4","ASKP5","ASKP6","ASKP7","ASKP8","ASKP9","ASKP10","BIDP1","BIDP2","BIDP3","BIDP4","BIDP5","BIDP6","BIDP7","BIDP8","BIDP9","BIDP10","ASKP_RSQN1","ASKP_RSQN2","ASKP_RSQN3","ASKP_RSQN4","ASKP_RSQN5","ASKP_RSQN6","ASKP_RSQN7","ASKP_RSQN8","ASKP_RSQN9","ASKP_RSQN10","BIDP_RSQN1","BIDP_RSQN2","BIDP_RSQN3","BIDP_RSQN4","BIDP_RSQN5","BIDP_RSQN6","BIDP_RSQN7","BIDP_RSQN8","BIDP_RSQN9","BIDP_RSQN10","TOTAL_ASKP_RSQN","TOTAL_BIDP_RSQN","OVTM_TOTAL_ASKP_RSQN","OVTM_TOTAL_BIDP_RSQN","ANTC_CNPR","ANTC_CNQN","ANTC_VOL","ANTC_CNTG_VRSS","ANTC_CNTG_VRSS_SIGN","ANTC_CNTG_PRDY_CTRT","ACML_VOL","TOTAL_ASKP_RSQN_ICDC","TOTAL_BIDP_RSQN_ICDC","OVTM_TOTAL_ASKP_ICDC","OVTM_TOTAL_BIDP_ICDC","STCK_DEAL_CLS_CODE","KMID_PRC","KMID_TOTAL_RSQN","KMID_CLS_CODE","NMID_PRC","NMID_TOTAL_RSQN","NMID_CLS_CODE"
"080000","0000","0","380000","390000","412000","437000","449500","454500","0","0","0","0","355500","335000","0","0","0","0","0","0","0","0","2","2","79","162","1","1","0","0","0","0","50","200","0","0","0","0","0","0","0","0","247","250","0","0","0","0","0","-369000","5","-100.00","0","0","0","0","0","","0","0","0","","",""
"080000","0001","0","375000","378500","380000","386500","390000","395000","396500","398000","399500","400000","369500","361500","360000","356000","355500","350000","335000","0","0","0","93","49","12","10","52","50","5","22","50","10","40","274","10","10","50","10","200","0","0","0","353","594","0","0","0","0","0","-369000","5","-100.00","0","106","344","0","0","","0","0","0","","",""
"080001","0000","0","372000","372500","375000","378500","379500","380000","380500","386500","389000","390000","369500","365000","364000","361500","360000","359000","356000","355500","355000","350500","3","50","93","49","300","92","120","10","1","102","40","200","10","274","10","13","10","50","6","9","820","622","0","0","0","0","0","-369000","5","-100.00","0","467","28","0","0","","0","0","0","","",""
"080001","0001","0","372000","372500","373000","375000","376000","378500","379500","380000","380500","381000","370000","369500","365500","365000","364000","363500","361500","361000","360000","359000","3","50","1","196","10805","49","300","92","120","2","2","40","10","200","10","9","274","2","110","13","11618","670","0","0","0","0","0","-369000","5","-100.00","0","10798","48","0","0","","0","0","0","","",""
"080002","0000","0","372000","372500","373000","375000","376000","378500","379000","379500","380000","380500","370000","369500","369000","366000","365500","365000","364500","364000","363500","361500","3","50","1","196","10805","49","246","301","92","122","2","40","5","10","12","200","10","10","9","274","11865","572","0","0","0","0","0","-369000","5","-100.00","0","247","-98","0","0","","0","0","0","","",""
"080002","0001","0","372000","372500","373000","373500","375000","376000","378500","379000","379500","380000","370000","369500","369000","366000","365500","365000","364500","364000","363500","361500","3","50","1","1","226","10818","49","251","301","92","2","60","5","11","12","300","10","10","9","274","11792","693","0","0","0","0","0","-369000","5","-100.00","0","-73","121","0","0","","0","0","0","","",""
"080002","0002","0","372000","372500","373000","373500","375000","376000","378500","379000","379500","380000","369500","369000","366000","365500","365000","364500","364000","363500","361500","361000","3","50","1","1","226","10818","49","251","301","92","60","5","11","12","313","10","10","9","274","2","11792","706","0","0","0","0","0","-369000","5","-100.00","0","0","13","0","0","","0","0","0","","",""
"080003","0000","0","372000","372500","373000","373500","374000","375000","376000","378500","379000","379500","369500","369000","366000","365500","365000","364500","364000","363500","361500","361000","9","50","1","1","1","226","10818","49","251","301","60","5","11","12","313","10","10","9","274","2","11707","706","0","0","0","0","0","-369000","5","-100.00","0","-85","0","0","0","","0","0","0","","",""
"080003","0001","0","372000","372500","373000","373500","374000","375000","376000","378500","379000","379500","369500","369000","366000","365500","365000","364500","364000","363500","361500","361000","9","50","1","1","2","226","10818","49","251","301","60","5","11","12","313","10","10","9","274","2","11708","706","0","0","0","0","0","-369000","5","-100.00","0","1","0","0","0","","0","0","0","","",""
"080004","0000","0","372000","372500","373000","373500","374000","375000","376000","378500","379000","379500","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","6","50","1","1","2","226","10818","49","251","301","60","5","1","11","12","313","10","10","9","274","11705","705","0","0","0","0","0","-369000","5","-100.00","3","-3","-1","0","0","","0","0","0","","",""
"080004","0001","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","1","2","226","10818","49","251","60","15","1","11","12","313","10","10","9","274","11413","715","0","0","0","0","0","-369000","5","-100.00","3","-292","10","0","0","","0","0","0","","",""
"080005","0000","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","1","2","226","10818","49","251","5","15","1","11","12","313","10","10","9","274","11413","660","0","0","0","0","0","-369000","5","-100.00","58","0","-55","0","0","","0","0","0","","",""
"080005","0001","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","1","2","226","10818","49","251","65","15","1","11","12","313","10","10","9","274","11413","720","0","0","0","0","0","-369000","5","-100.00","58","0","60","0","0","","0","0","0","","",""
"080005","0002","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","2","227","10818","49","251","65","15","1","11","12","313","10","10","9","274","11415","720","0","0","0","0","0","-369000","5","-100.00","58","2","0","0","0","","0","0","0","","",""
"080006","0000","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","2","227","10818","49","251","75","15","1","11","12","313","10","10","9","274","11415","730","0","0","0","0","0","-369000","5","-100.00","58","0","10","0","0","","0","0","0","","",""
"080006","0001","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","2","227","10818","49","252","75","15","1","11","12","314","10","10","9","274","11416","731","0","0","0","0","0","-369000","5","-100.00","58","1","1","0","0","","0","0","0","","",""
"080006","0002","0","371000","372000","372500","373000","373500","374000","375000","376000","378500","379000","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","3","227","10818","49","252","75","15","1","11","12","314","10","11","9","274","11417","732","0","0","0","0","0","-369000","5","-100.00","58","1","1","0","0","","0","0","0","","",""
"080007","0000","0","371000","372000","372500","373000","373500","374000","374500","375000","376000","378500","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","3","2","227","10818","49","75","15","1","11","12","314","10","11","9","274","11167","732","0","0","0","0","0","-369000","5","-100.00","58","-250","0","0","0","","0","0","0","","",""
"080007","0001","0","371000","372000","372500","373000","373500","374000","374500","375000","376000","378500","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","3","2","227","10818","49","75","16","1","11","12","314","10","11","9","274","11167","733","0","0","0","0","0","-369000","5","-100.00","58","0","1","0","0","","0","0","0","","",""
"080007","0002","0","371000","372000","372500","373000","373500","374000","374500","375000","376000","378500","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","3","2","302","10818","49","75","16","1","11","12","314","10","11","9","274","11242","733","0","0","0","0","0","-369000","5","-100.00","58","75","0","0","0","","0","0","0","","",""
"080007","0003","0","371000","372000","372500","373000","373500","374000","374500","375000","376000","378500","369500","369000","367000","366000","365500","365000","364500","364000","363500","361500","9","6","50","1","2","3","2","302","10818","49","76","16","1","11","12","314","10","11","9","274","11242","734","0","0","0","0","0","-369000","5","-100.00","58","0","1","0","0","","0","0","0","","",""
