"time","price","millisec"
"090012",20360,"0000"
"090012",20355,"0001"
"090012",20365,"0002"
"090013",20370,"0000"
"090013",20375,"0001"
"090013",20370,"0002"
"090014",20380,"0000"
"090015",20390,"0000"
"090017",20385,"0000"
"090017",20380,"0001"
"090018",20375,"0000"
"090019",20370,"0000"
"090020",20375,"0000"
"090021",20360,"0000"
"090022",20370,"0000"
"090023",20365,"0000"
"090024",20370,"0000"
"090024",20365,"0001"
"090025",20355,"0000"
"090025",20350,"0001"
"090026",20345,"0000"
"090027",20350,"0000"
"090027",20345,"0001"
"090028",20350,"0000"
"090029",20355,"0000"
"090029",20360,"0001"
"090030",20365,"0000"
"090030",20370,"0001"
"090031",20365,"0000"
"090031",20360,"0001"
"090031",20365,"0002"
"090032",20370,"0000"
"090032",20360,"0001"
"090033",20365,"0000"
"090033",20370,"0001"
"090034",20375,"0000"
"090035",20370,"0000"
"090035",20375,"0001"
"090035",20387,"0002"
"090036",20385,"0000"
"090036",20390,"0001"
"090037",20385,"0000"
"090038",20380,"0000"
"090039",20390,"0000"
"090039",20385,"0001"
"090041",20390,"0000"
"090041",20385,"0001"
"090042",20395,"0000"
"090043",20400,"0000"
"090044",20405,"0000"
"090044",20410,"0001"
"090045",20415,"0000"
"090047",20420,"0000"
"090047",20410,"0001"
"090047",20415,"0002"
"090048",20410,"0000"
"090050",20405,"0000"
"090050",20415,"0001"
"090052",20420,"0000"
"090052",20425,"0001"
"090052",20430,"0002"
"090053",20425,"0000"
"090053",20420,"0001"
"090054",20425,"0000"
"090055",20415,"0000"
"090057",20410,"0000"
"090058",20420,"0000"
"090059",20415,"0000"
"090100",20410,"0000"
"090100",20400,"0001"
"090101",20405,"0000"
"090102",20400,"0000"
"090102",20395,"0001"
"090103",20392,"0000"
"090103",20395,"0001"
"090104",20390,"0000"
"090106",20385,"0000"
"090107",20390,"0000"
"090107",20385,"0001"
"090108",20395,"0000"
"090108",20385,"0001"
"090109",20390,"0000"
"090110",20385,"0000"
"090110",20390,"0001"
"090110",20385,"0002"
"090112",20387,"0000"
"090112",20390,"0001"
"090113",20385,"0000"
"090114",20380,"0000"
"090118",20375,"0000"
"090119",20370,"0000"
"090119",20375,"0001"
"090120",20370,"0000"
"090120",20375,"0001"
"090121",20370,"0000"
"090121",20380,"0001"
"090122",20370,"0000"
"090122",20365,"0001"
"090123",20370,"0000"
"090123",20375,"0001"
"090123",20370,"0002"
"090124",20375,"0000"
"090125",20370,"0000"
"090126",20365,"0000"
"090126",20370,"0001"
"090127",20365,"0000"
"090128",20360,"0000"
"090128",20365,"0001"
"090128",20360,"0002"
"090130",20350,"0000"
"090131",20345,"0000"
"090131",20340,"0001"
"090131",20350,"0002"
"090132",20345,"0000"
"090132",20350,"0001"
"090135",20345,"0000"
"090136",20350,"0000"
"090136",20345,"0001"
"090137",20350,"0000"
"090138",20345,"0000"
"090139",20350,"0000"
"090140",20355,"0000"
"090140",20360,"0001"
"090141",20355,"0000"
"090141",20350,"0001"
"090141",20340,"0002"
"090142",20345,"0000"
"090143",20350,"0000"
"090144",20345,"0000"
"090144",20350,"0001"
"090147",20345,"0000"
"090149",20340,"0000"
"090150",20345,"0000"
"090151",20350,"0000"
"090152",20355,"0000"
"090153",20350,"0000"
"090153",20345,"0001"
"090153",20342,"0002"
"090154",20340,"0000"
"090155",20345,"0000"
"090157",20340,"0000"
"090157",20335,"0001"
"090158",20340,"0000"
"090158",20335,"0001"
"090158",20330,"0002"
"090158",20325,"0003"
"090159",20330,"0000"
"090200",20325,"0000"
"090200",20330,"0001"
"090200",20325,"0002"
"090201",20320,"0000"
"090201",20315,"0001"
"090202",20320,"0000"
"090203",20325,"0000"
"090203",20330,"0001"
"090204",20320,"0000"
"090204",20330,"0001"
"090206",20325,"0000"
"090207",20330,"0000"
"090207",20325,"0001"
"090208",20320,"0000"
"090208",20325,"0001"
"090209",20320,"0000"
"090209",20325,"0001"
"090210",20320,"0000"
"090210",20330,"0001"
"090211",20325,"0000"
"090212",20320,"0000"
"090212",20325,"0001"
"090213",20330,"0000"
"090213",20325,"0001"
"090213",20330,"0002"
"090214",20325,"0000"
"090215",20330,"0000"
"090217",20335,"0000"
"090217",20330,"0001"
"090218",20335,"0000"
"090219",20330,"0000"
"090219",20335,"0001"
"090220",20340,"0000"
"090221",20335,"0000"
"090224",20340,"0000"
"090225",20345,"0000"
"090225",20340,"0001"
"090226",20335,"0000"
"090226",20340,"0001"
"090228",20335,"0000"
"090229",20345,"0000"
"090231",20335,"0000"
"090232",20340,"0000"
"090233",20345,"0000"
"090235",20340,"0000"
"090235",20345,"0001"
"090235",20350,"0002"
"090237",20345,"0000"
"090237",20340,"0001"
"090237",20335,"0002"
"090237",20340,"0003"
"090238",20335,"0000"
"090238",20340,"0001"
"090239",20335,"0000"
"090240",20340,"0000"
"090243",20335,"0000"
"090244",20330,"0000"
"090245",20325,"0000"
"090245",20320,"0001"
"090246",20325,"0000"
"090246",20315,"0001"
"090247",20320,"0000"
"090248",20310,"0000"
"090249",20315,"0000"
"090250",20310,"0000"
"090252",20320,"0000"
"090253",20315,"0000"
"090254",20320,"0000"
"090254",20325,"0001"
"090255",20320,"0000"
"090255",20325,"0001"
"090257",20320,"0000"
"090259",20325,"0000"
"090300",20330,"0000"
"090301",20335,"0000"
"090302",20330,"0000"
"090302",20335,"0001"
"090303",20340,"0000"
"090303",20330,"0001"
"090304",20335,"0000"
"090305",20340,"0000"
"090305",20335,"0001"
"090307",20330,"0000"
"090307",20335,"0001"
"090308",20330,"0000"
"090309",20335,"0000"
"090310",20330,"0000"
"090311",20345,"0000"
"090312",20350,"0000"
"090312",20355,"0001"
"090313",20345,"0000"
"090314",20340,"0000"
"090314",20345,"0001"
"090315",20340,"0000"
"090315",20345,"0001"
"090316",20340,"0000"
"090317",20345,"0000"
"090317",20350,"0001"
"090318",20355,"0000"
"090318",20345,"0001"
"090319",20355,"0000"
"090319",20350,"0001"
"090320",20345,"0000"
"090321",20350,"0000"
"090321",20355,"0001"
"090321",20350,"0002"
"090322",20355,"0000"
"090322",20365,"0001"
"090323",20370,"0000"
"090323",20365,"0001"
"090324",20370,"0000"
"090325",20365,"0000"
"090325",20370,"0001"
"090328",20377,"0000"
"090328",20380,"0001"
"090328",20385,"0002"
"090329",20390,"0000"
"090329",20395,"0001"
"090331",20400,"0000"
"090332",20397,"0000"
"090333",20405,"0000"
"090334",20400,"0000"
"090335",20410,"0000"
"090337",20415,"0000"
"090337",20420,"0001"
"090338",20425,"0000"
"090339",20415,"0000"
"090339",20420,"0001"
"090341",20425,"0000"
"090341",20430,"0001"
"090343",20435,"0000"
"090343",20440,"0001"
"090343",20435,"0002"
"090344",20440,"0000"
"090345",20435,"0000"
"090345",20440,"0001"
"090346",20445,"0000"
"090346",20440,"0001"
"090346",20445,"0002"
"090346",20450,"0003"
"090346",20455,"0004"
"090347",20450,"0000"
"090347",20460,"0001"
"090348",20470,"0000"
"090348",20465,"0001"
"090349",20470,"0000"
"090349",20465,"0001"
"090350",20470,"0000"
"090350",20475,"0001"
"090350",20480,"0002"
"090350",20470,"0003"
"090351",20465,"0000"
"090351",20475,"0001"
"090353",20460,"0000"
"090353",20455,"0001"
"090354",20465,"0000"
"090355",20470,"0000"
"090356",20460,"0000"
"090356",20462,"0001"
"090357",20460,"0000"
"090357",20455,"0001"
"090358",20460,"0000"
"090358",20465,"0001"
"090400",20470,"0000"
"090401",20480,"0000"
"090401",20475,"0001"
"090402",20470,"0000"
"090402",20465,"0001"
"090404",20460,"0000"
"090405",20455,"0000"
"090405",20450,"0001"
"090405",20440,"0002"
"090406",20450,"0000"
"090406",20455,"0001"
"090407",20460,"0000"
"090408",20455,"0000"
"090408",20460,"0001"
"090408",20455,"0002"
"090409",20460,"0000"
"090410",20455,"0000"
"090410",20460,"0001"
"090410",20450,"0002"
"090411",20460,"0000"
"090411",20465,"0001"
"090413",20460,"0000"
"090413",20465,"0001"
"090413",20470,"0002"
"090413",20480,"0003"
"090414",20485,"0000"
"090415",20475,"0000"
"090415",20490,"0001"
"090415",20480,"0002"
"090416",20485,"0000"
"090416",20480,"0001"
"090416",20485,"0002"
"090417",20490,"0000"
"090417",20495,"0001"
"090418",20485,"0000"
"090418",20490,"0001"
"090418",20485,"0002"
"090418",20480,"0003"
"090419",20485,"0000"
"090419",20490,"0001"
"090419",20485,"0002"
"090420",20490,"0000"
"090421",20495,"0000"
"090421",20492,"0001"
"090421",20495,"0002"
"090421",20500,"0003"
"090422",20495,"0000"
"090422",20490,"0001"
"090423",20495,"0000"
"090423",20485,"0001"
"090424",20495,"0000"
"090425",20490,"0000"
"090426",20492,"0000"
"090426",20485,"0001"
