"time","price","millisec"
"090023",20590,"0000"
"090023",20580,"0001"
"090023",20575,"0002"
"090023",20570,"0003"
"090023",20575,"0004"
"090023",20570,"0005"
"090023",20565,"0006"
"090023",20560,"0007"
"090024",20565,"0000"
"090024",20560,"0001"
"090025",20550,"0000"
"090025",20545,"0001"
"090026",20550,"0000"
"090027",20545,"0000"
"090028",20550,"0000"
"090029",20555,"0000"
"090030",20550,"0000"
"090031",20545,"0000"
"090032",20550,"0000"
"090032",20545,"0001"
"090033",20555,"0000"
"090033",20550,"0001"
"090033",20555,"0002"
"090034",20550,"0000"
"090034",20555,"0001"
"090034",20550,"0002"
"090035",20555,"0000"
"090036",20565,"0000"
"090036",20560,"0001"
"090036",20570,"0002"
"090037",20565,"0000"
"090037",20570,"0001"
"090037",20565,"0002"
"090037",20575,"0003"
"090038",20570,"0000"
"090038",20580,"0001"
"090039",20585,"0000"
"090039",20580,"0001"
"090040",20590,"0000"
"090040",20595,"0001"
"090040",20600,"0002"
"090041",20590,"0000"
"090042",20600,"0000"
"090043",20610,"0000"
"090043",20615,"0001"
"090045",20620,"0000"
"090045",20630,"0001"
"090046",20620,"0000"
"090046",20625,"0001"
"090046",20630,"0002"
"090047",20620,"0000"
"090047",20625,"0001"
"090048",20620,"0000"
"090048",20630,"0001"
"090048",20635,"0002"
"090048",20640,"0003"
"090049",20635,"0000"
"090050",20630,"0000"
"090050",20625,"0001"
"090050",20630,"0002"
"090050",20620,"0003"
"090050",20625,"0004"
"090051",20620,"0000"
"090051",20625,"0001"
"090052",20620,"0000"
"090052",20630,"0001"
"090053",20620,"0000"
"090053",20625,"0001"
"090054",20620,"0000"
"090054",20625,"0001"
"090054",20615,"0002"
"090055",20620,"0000"
"090055",20610,"0001"
"090056",20615,"0000"
"090056",20610,"0001"
"090056",20615,"0002"
"090057",20610,"0000"
"090057",20620,"0001"
"090057",20615,"0002"
"090100",20620,"0000"
"090100",20625,"0001"
"090101",20630,"0000"
"090101",20625,"0001"
"090101",20630,"0002"
"090102",20625,"0000"
"090103",20615,"0000"
"090103",20620,"0001"
"090104",20615,"0000"
"090104",20610,"0001"
"090104",20620,"0002"
"090105",20610,"0000"
"090105",20605,"0001"
"090105",20600,"0002"
"090105",20605,"0003"
"090106",20595,"0000"
"090107",20585,"0000"
"090107",20580,"0001"
"090108",20575,"0000"
"090108",20585,"0001"
"090108",20580,"0002"
"090109",20585,"0000"
"090109",20590,"0001"
"090110",20595,"0000"
"090110",20580,"0001"
"090113",20585,"0000"
"090113",20575,"0001"
"090113",20580,"0002"
"090114",20575,"0000"
"090115",20580,"0000"
"090115",20585,"0001"
"090116",20590,"0000"
"090117",20595,"0000"
"090117",20590,"0001"
"090117",20595,"0002"
"090118",20575,"0000"
"090119",20580,"0000"
"090119",20570,"0001"
"090120",20565,"0000"
"090120",20560,"0001"
"090120",20555,"0002"
"090121",20550,"0000"
"090122",20545,"0000"
"090122",20550,"0001"
"090123",20540,"0000"
"090123",20545,"0001"
"090123",20540,"0002"
"090124",20545,"0000"
"090124",20550,"0001"
"090124",20555,"0002"
"090125",20550,"0000"
"090125",20555,"0001"
"090125",20560,"0002"
"090126",20555,"0000"
"090127",20550,"0000"
"090127",20560,"0001"
"090128",20570,"0000"
"090128",20560,"0001"
"090128",20565,"0002"
"090129",20570,"0000"
"090129",20565,"0001"
"090130",20560,"0000"
"090130",20570,"0001"
"090131",20565,"0000"
"090131",20555,"0001"
"090131",20560,"0002"
"090133",20555,"0000"
"090133",20560,"0001"
"090135",20565,"0000"
"090135",20560,"0001"
"090136",20555,"0000"
"090136",20560,"0001"
"090137",20565,"0000"
"090138",20560,"0000"
