"time","price","millisec"
"090005",24235,"0000"
"090009",24230,"0000"
"090025",24227,"0000"
"090027",24225,"0000"
"090038",24220,"0000"
"090041",24222,"0000"
"090054",24220,"0000"
"090058",24212,"0000"
"090058",24215,"0000"
"090058",24212,"0001"
"090103",24210,"0000"
"090105",24200,"0000"
"090105",24205,"0000"
"090108",24205,"0000"
"090109",24200,"0000"
"090113",24197,"0000"
"090120",24190,"0000"
"090120",24195,"0000"
"090121",24180,"0000"
"090123",24177,"0000"
"090128",24175,"0000"
"090130",24162,"0000"
"090130",24165,"0000"
"090130",24170,"0000"
"090131",24162,"0000"
"090136",24160,"0000"
"090138",24162,"0000"
"090138",24165,"0000"
"090140",24165,"0000"
"090202",24162,"0000"
"090203",24165,"0000"
"090216",24170,"0000"
"090216",24180,"0000"
"090234",24210,"0000"
"090248",24217,"0000"
"090259",24220,"0000"
"090310",24200,"0000"
"090310",24210,"0000"
"090310",24215,"0000"
"090310",24220,"0000"
"090310",24220,"0001"
"090311",24210,"0000"
"090311",24215,"0000"
"090312",24215,"0000"
"090323",24220,"0000"
"090328",24210,"0000"
"090328",24215,"0000"
"090328",24217,"0000"
"090329",24220,"0000"
"090339",24215,"0000"
"090343",24210,"0000"
"090343",24220,"0000"
"090344",24220,"0000"
"090402",24220,"0000"
"090402",24222,"0000"
"090406",24220,"0000"
"090419",24225,"0000"
"090424",24220,"0000"
"090426",24225,"0000"
"090429",24222,"0000"
"090431",24220,"0000"
"090432",24222,"0000"
"090434",24220,"0000"
"090437",24225,"0000"
"090501",24225,"0000"
"090501",24230,"0000"
"090502",24220,"0000"
"090502",24225,"0000"
"090503",24220,"0000"
"090503",24230,"0000"
"090504",24220,"0000"
"090509",24215,"0000"
"090511",24220,"0000"
"090515",24215,"0000"
"090516",24220,"0000"
"090523",24215,"0000"
"090523",24220,"0000"
"090523",24220,"0001"
"090531",24215,"0000"
"090531",24220,"0000"
"090531",24220,"0001"
"090534",24210,"0000"
"090534",24215,"0000"
"090534",24220,"0000"
"090534",24220,"0001"
"090540",24210,"0000"
"090543",24210,"0000"
"090543",24220,"0000"
"090545",24210,"0000"
"090545",24220,"0000"
"090545",24220,"0001"
"090546",24210,"0000"
"090548",24220,"0000"
"090549",24210,"0000"
"090549",24215,"0000"
"090549",24220,"0000"
"090549",24220,"0001"
"090551",24205,"0000"
"090551",24210,"0000"
"090551",24220,"0000"
"090551",24220,"0001"
"090557",24215,"0000"
"090558",24220,"0000"
"090602",24215,"0000"
"090602",24220,"0000"
"090602",24220,"0001"
"090604",24210,"0000"
"090604",24215,"0000"
"090605",24210,"0000"
"090605",24220,"0000"
