"time","price","millisec"
"090022",35325,"0000"
"090022",35350,"0001"
"090022",35330,"0002"
"090028",35325,"0000"
"090029",35350,"0000"
"090030",35325,"0000"
"090033",35330,"0000"
"090035",35265,"0000"
"090038",35400,"0000"
"090040",35350,"0000"
"090049",35340,"0000"
"090053",35330,"0000"
"090058",35340,"0000"
"090103",35350,"0000"
"090116",35355,"0000"
"090116",35350,"0001"
"090120",35385,"0000"
"090125",35350,"0000"
"090126",35330,"0000"
"090127",35340,"0000"
"090127",35335,"0001"
"090128",35350,"0000"
"090137",35385,"0000"
"090143",35350,"0000"
"090145",35385,"0000"
"090145",35365,"0001"
"090146",35385,"0000"
"090150",35380,"0000"
"090156",35335,"0000"
"090157",35350,"0000"
"090157",35380,"0001"
"090200",35300,"0000"
"090201",35330,"0000"
"090204",35285,"0000"
"090207",35300,"0000"
"090213",35295,"0000"
"090216",35300,"0000"
"090217",35310,"0000"
"090217",35300,"0001"
"090218",35295,"0000"
"090220",35330,"0000"
"090225",35295,"0000"
"090229",35285,"0000"
"090230",35295,"0000"
"090235",35285,"0000"
"090235",35375,"0001"
"090235",35385,"0002"
"090240",35295,"0000"
"090240",35275,"0001"
"090241",35260,"0000"
"090245",35325,"0000"
"090246",35330,"0000"
"090247",35260,"0000"
"090251",35300,"0000"
"090252",35270,"0000"
"090253",35295,"0000"
"090257",35285,"0000"
"090301",35255,"0000"
"090305",35250,"0000"
"090305",35300,"0001"
"090306",35245,"0000"
"090307",35255,"0000"
"090311",35260,"0000"
"090314",35265,"0000"
"090316",35260,"0000"
"090320",35270,"0000"
"090321",35260,"0000"
"090322",35290,"0000"
"090326",35285,"0000"
"090326",35290,"0001"
"090330",35260,"0000"
"090334",35255,"0000"
"090335",35260,"0000"
"090336",35250,"0000"
"090336",35245,"0001"
"090337",35260,"0000"
"090337",35240,"0001"
"090337",35235,"0002"
"090337",35230,"0003"
"090338",35260,"0000"
"090341",35220,"0000"
"090342",35250,"0000"
"090346",35225,"0000"
"090349",35215,"0000"
"090351",35210,"0000"
"090352",35215,"0000"
"090353",35200,"0000"
"090353",35210,"0001"
"090356",35180,"0000"
"090356",35205,"0001"
"090401",35210,"0000"
"090401",35205,"0001"
"090407",35210,"0000"
"090409",35205,"0000"
"090410",35210,"0000"
"090412",35180,"0000"
"090414",35210,"0000"
"090414",35205,"0001"
"090417",35180,"0000"
"090422",35200,"0000"
"090422",35175,"0001"
"090423",35200,"0000"
"090424",35185,"0000"
"090429",35170,"0000"
"090430",35190,"0000"
"090431",35195,"0000"
"090431",35200,"0001"
"090432",35210,"0000"
"090433",35225,"0000"
"090434",35205,"0000"
"090435",35235,"0000"
"090437",35225,"0000"
"090441",35215,"0000"
"090445",35225,"0000"
"090448",35240,"0000"
"090449",35225,"0000"
"090450",35240,"0000"
"090451",35225,"0000"
"090455",35240,"0000"
"090457",35220,"0000"
"090457",35225,"0001"
"090459",35240,"0000"
"090501",35225,"0000"
"090502",35230,"0000"
"090502",35235,"0001"
"090504",35240,"0000"
"090504",35250,"0001"
"090504",35260,"0002"
"090505",35250,"0000"
"090506",35245,"0000"
"090506",35260,"0001"
"090506",35245,"0002"
"090507",35260,"0000"
"090509",35240,"0000"
"090509",35260,"0001"
"090510",35240,"0000"
"090511",35230,"0000"
"090513",35235,"0000"
"090514",35240,"0000"
"090515",35260,"0000"
"090516",35235,"0000"
"090516",35225,"0001"
"090517",35235,"0000"
"090517",35230,"0001"
"090518",35255,"0000"
"090519",35260,"0000"
"090520",35270,"0000"
"090523",35250,"0000"
"090524",35280,"0000"
"090525",35285,"0000"
"090525",35290,"0001"
"090526",35285,"0000"
"090527",35270,"0000"
"090527",35280,"0001"
"090528",35285,"0000"
"090531",35270,"0000"
"090531",35260,"0001"
"090532",35280,"0000"
"090532",35260,"0001"
"090533",35280,"0000"
"090536",35275,"0000"
"090539",35280,"0000"
"090539",35285,"0001"
"090540",35290,"0000"
"090540",35295,"0001"
"090541",35275,"0000"
"090542",35285,"0000"
"090544",35275,"0000"
"090545",35270,"0000"
"090545",35275,"0001"
"090545",35265,"0002"
"090546",35270,"0000"
"090547",35290,"0000"
"090547",35270,"0001"
"090549",35280,"0000"
"090549",35290,"0001"
"090549",35280,"0002"
"090550",35290,"0000"
"090550",35280,"0001"
"090551",35290,"0000"
"090552",35295,"0000"
"090553",35280,"0000"
"090554",35310,"0000"
"090554",35290,"0001"
"090555",35310,"0000"
"090557",35305,"0000"
"090558",35285,"0000"
"090602",35305,"0000"
"090603",35300,"0000"
"090603",35275,"0001"
"090604",35290,"0000"
"090605",35285,"0000"
"090605",35265,"0001"
"090605",35280,"0002"
"090606",35260,"0000"
"090608",35285,"0000"
"090610",35270,"0000"
"090611",35280,"0000"
"090616",35270,"0000"
"090617",35275,"0000"
"090618",35260,"0000"
"090620",35255,"0000"
"090621",35245,"0000"
"090622",35260,"0000"
"090622",35235,"0001"
"090622",35260,"0002"
